,race,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,H,0.17600000000000002,0.17800000000000002,0.18100000000000002,0.183,0.184,0.187,0.188,0.191,0.19399999999999998
1,W,0.615,0.611,0.606,0.602,0.6,0.578,0.581,0.5770000000000001,0.5710000000000001
2,B,0.12300000000000001,0.12300000000000001,0.12300000000000001,0.12300000000000001,0.124,0.121,0.11800000000000001,0.11900000000000001,0.11800000000000001
3,N,0.006,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.005,0.005,0.005
4,A,0.053,0.054000000000000006,0.055,0.055999999999999994,0.055999999999999994,0.059000000000000004,0.057,0.057999999999999996,0.059000000000000004
5,O,0.004,0.004,0.005,0.005,0.005,0.005,0.008,0.008,0.008
